inc_before_tax,ks_net_tax_liab_dol_chg_single,ks_net_tax_liab_dol_chg_mar0kids,ks_net_tax_liab_dol_chg_hoh2kids,ks_net_tax_liab_dol_chg_mar2kids
160422.5,-775.1206,-450.4961,-588.7461,-421.2461
160440.0,-775.23486,-450.60986,-588.85986,-421.35986
160457.5,-775.34863,-450.72412,-588.9741,-421.47412
160475.0,-775.4629,-450.8379,-589.0879,-421.5879
160492.5,-775.5762,-450.95117,-589.2012,-421.70117
160510.0,-775.6904,-451.06494,-589.31494,-421.81494
160527.5,-775.8037,-451.1787,-589.4287,-421.9287
160545.0,-775.91797,-451.29248,-589.5425,-422.04248
160562.5,-776.03125,-451.40625,-589.65625,-422.15625
160580.0,-776.14453,-451.52002,-589.77,-422.27002
160597.5,-776.2588,-451.6338,-589.8838,-422.3838
160615.0,-776.3721,-451.74756,-589.99756,-422.49756
160632.5,-776.4863,-451.86133,-590.1113,-422.61133
160650.0,-776.5996,-451.9746,-590.2246,-422.7246
160667.5,-776.71387,-452.08838,-590.3384,-422.83838
160685.0,-776.82764,-452.20264,-590.45264,-422.95264
160702.5,-776.9419,-452.3164,-590.5664,-423.0664
160720.0,-777.0552,-452.43018,-590.6802,-423.18018
160737.5,-777.16846,-452.54395,-590.79395,-423.29395
160755.0,-777.2827,-452.6577,-590.9077,-423.4077
160772.5,-777.396,-452.77148,-591.0215,-423.52148
160790.0,-777.51025,-452.88477,-591.13477,-423.63477
160807.5,-777.62354,-452.99854,-591.24854,-423.74854
160825.0,-777.7378,-453.1123,-591.3623,-423.8623
160842.5,-777.8511,-453.22607,-591.4761,-423.97607
160860.0,-777.96436,-453.33984,-591.58984,-424.08984
160877.5,-778.0786,-453.4536,-591.7036,-424.2036
160895.0,-778.1924,-453.56787,-591.8179,-424.31787
160912.5,-778.30664,-453.68164,-591.93164,-424.43164
160930.0,-778.4199,-453.79492,-592.0449,-424.54492
160947.5,-778.5342,-453.9087,-592.1587,-424.6587
160965.0,-778.64746,-454.02246,-592.27246,-424.77246
160982.5,-778.7617,-454.13623,-592.3862,-424.88623
161000.0,-778.875,-454.25,-592.5,-425.0
161017.5,-778.9883,-454.36377,-592.6138,-425.11377
161035.0,-779.10254,-454.47754,-592.72754,-425.22754
161052.5,-779.2158,-454.5913,-592.8413,-425.3413
161070.0,-779.3301,-454.70508,-592.9551,-425.45508
161087.5,-779.44336,-454.81836,-593.06836,-425.56836
161105.0,-779.5576,-454.93213,-593.1821,-425.68213
161122.5,-779.6714,-455.0464,-593.2964,-425.7964
161140.0,-779.78564,-455.16016,-593.41016,-425.91016
161157.5,-779.8989,-455.27393,-593.5239,-426.02393
161175.0,-780.0122,-455.3877,-593.6377,-426.1377
161192.5,-780.12646,-455.50146,-593.75146,-426.25146
161210.0,-780.23975,-455.61523,-593.86523,-426.36523
161227.5,-780.354,-455.72852,-593.9785,-426.47852
161245.0,-780.4673,-455.8423,-594.0923,-426.5923
161262.5,-780.58154,-455.95605,-594.20605,-426.70605
161280.0,-780.6948,-456.06982,-594.3198,-426.81982
161297.5,-780.8081,-456.1836,-594.4336,-426.9336
161315.0,-780.92236,-456.29736,-594.54736,-427.04736
161332.5,-781.03613,-456.41162,-594.6616,-427.16162
161350.0,-781.1504,-456.5254,-594.7754,-427.2754
161367.5,-781.2637,-456.63867,-594.8887,-427.38867
161385.0,-781.3779,-456.75244,-595.00244,-427.50244
161402.5,-781.4912,-456.8662,-595.1162,-427.6162
161420.0,-781.60547,-456.97998,-595.23,-427.72998
161437.5,-781.71875,-457.09375,-595.34375,-427.84375
161455.0,-781.83203,-457.20752,-595.4575,-427.95752
161472.5,-781.9463,-457.3213,-595.5713,-428.0713
161490.0,-782.0596,-457.43506,-595.68506,-428.18506
161507.5,-782.1738,-457.54883,-595.7988,-428.29883
161525.0,-782.2871,-457.6621,-595.9121,-428.4121
161542.5,-782.40137,-457.77588,-596.0259,-428.52588
161560.0,-782.51514,-457.89014,-596.14014,-428.64014
161577.5,-782.6294,-458.0039,-596.2539,-428.7539
161595.0,-782.7427,-458.11768,-596.3677,-428.86768
161612.5,-782.85596,-458.23145,-596.48145,-428.98145
161630.0,-782.9702,-458.3452,-596.5952,-429.0952
161647.5,-783.0835,-458.45898,-596.709,-429.20898
161665.0,-783.19775,-458.57227,-596.82227,-429.32227
161682.5,-783.31104,-458.68604,-596.93604,-429.43604
161700.0,-783.4253,-458.7998,-597.0498,-429.5498
161717.5,-783.5386,-458.91357,-597.1636,-429.66357
161735.0,-783.65186,-459.02734,-597.27734,-429.77734
161752.5,-783.7661,-459.1411,-597.3911,-429.8911
161770.0,-783.8799,-459.25537,-597.5054,-430.00537
161787.5,-783.99414,-459.36914,-597.61914,-430.11914
161805.0,-784.1074,-459.48242,-597.7324,-430.23242
161822.5,-784.2217,-459.5962,-597.8462,-430.3462
161840.0,-784.33496,-459.70996,-597.95996,-430.45996
161857.5,-784.4492,-459.82373,-598.0737,-430.57373
